,予約件数,タイトル,出版社,出版日,在架
0,31,日雇い浪人生活録,角川春樹事務所,2021.5,× 在架なし
1,30,わたしが幸せになるまで,幻冬舎,2021.5,× 在架なし
2,15,山本あきこの日本一楽しいおしゃれドリル,主婦の友社,2021.5,× 在架なし
3,12,ターシャ・テューダー人生の楽しみ方,海竜社,2021.5,× 在架なし
4,9,40代からの人体の取扱説明書,ニュートンプレス,2021.7,× 在架なし
5,9,「定年後知的格差」時代の勉強法,中央公論新社,2021.5,× 在架なし
6,7,老いの取扱説明書,ニュートンプレス,2021.6,× 在架なし
7,3,理系女性の人生設計ガイド,講談社,2021.5,× 在架なし
8,3,文豪たちの住宅事情,笠間書院,2021.5,× 在架なし
9,3,人生「散りぎわ」がおもしろい,毎日新聞出版,2021.6,× 在架なし
10,2,人生を豊かにしたい人のための日本の城,マイナビ出版,2021.5,× 在架なし
11,2,50歳からは、「これ」しかやらない,PHP研究所,2021.7,× 在架なし
12,2,人生を好転させる歯科治療,幻冬舎メディアコンサルティング,2021.5,× 在架なし
13,1,ゆほびか,マキノ出版,2021.06.16,× 在架なし
14,0,文学,講談社,2021.5,○ 在架あり
15,0,職業は専業画家,誠文堂新光社,2021.6,× 在架なし
16,0,パウロ・コエーリョ賢人の視点,サンマーク出版,2021.5,× 在架なし
17,0,高校脱出マニュアル,旺文社,2021.5,× 在架なし
18,0,夕暮れの草の冠,柏書房,2021.7,× 在架なし
19,0,人生で大切なことはすべてソニーから学んだ,PHP研究所,2021.5,○ 在架あり
